Condition,Distance,Velocity,Proportion_missing_frames
1uM,38.8652,0.043294,0.00%
1uM,190.299,0.235948,10.60%
1uM,142.133,0.15827,0.60%
1uM,51.3294,0.0571915,6.50%
1uM,30.8761,0.0343816,0.00%
1uM,25.6034,0.0284899,1.40%
1uM,72.6307,0.0808676,8.00%
1uM,7.23635,0.00805851,0.00%
1uM,148.565,0.165457,10.50%
1uM,114.253,0.126948,22.70%
5uM,124.856,0.173815,19.70%
5uM,146.554,0.162168,0.10%
5uM,135.834,0.151256,6.50%
5uM,108.785,0.123439,18.50%
5uM,122.454,0.136356,12.00%
5uM,142.112,0.158158,15.80%
5uM,19.3341,0.0215276,80.90%
5uM,40.9288,0.0455789,0.00%
5uM,135.052,0.150408,9.70%
5uM,88.8647,0.0987384,25.70%
10uM,193.402,0.21691,0.40%
10uM,139.277,0.182389,15.50%
10uM,120.256,0.13391,7.70%
10uM,148.826,0.169896,18.80%
10uM,164.681,0.183378,12.40%
10uM,63.2077,0.0703336,1.10%
10uM,41.4618,0.0461639,5.20%
10uM,14.7057,0.0163765,0.00%
10uM,51.5316,0.0573908,0.00%
10uM,104.163,0.137728,33.90%
20uM,129.568,0.176637,17.70%
20uM,153.515,0.179933,5.70%
20uM,58.3407,0.0649645,51.30%
20uM,146.445,0.16317,6.10%
20uM,84.9966,0.0946466,0.00%
20uM,57.4515,0.0639285,11.10%
20uM,86.5961,0.0964168,2.70%
20uM,14.3776,0.0160111,0.00%
20uM,112.755,0.125576,3.00%
20uM,25.0672,0.0278525,0.00%
100uM,20.8127,0.0231252,
100uM,25.8239,0.0286932,
100uM,64.7882,0.0719868,
100uM,59.1021,0.0656688,
100uM,74.4857,0.0827618,
100uM,0,0,
100uM,13.5263,0.0462633,
100uM,14.8421,0.0165278,
100uM,50.0647,0.0557509,
100uM,15.523,0.0172861,
control,164.436,0.198843,7.70%
control,167.674,0.233566,20.40%
control,123.837,0.137897,2.80%
control,163.039,0.181659,0.20%
control,41.7193,0.0464558,0.00%
control,18.286,0.0203476,1.20%
control,71.8746,0.0800258,6.00%
control,36.828,0.0423325,3.40%
control,49.5465,0.05518,0.30%
control,116.97,0.129966,28.40%
