Subject,Initial_preference,Active_surface,Condition,Body_status,Baseline_rough ,Baseline_smooth,Baseline_active_proportion,baseline_distance,Test_rough,Test_smooth,Test_active_proportion,Test_distance,Test_time_tracking,Difference_score,Regeneration_test_rough ,Regeneration_test_smooth,Regen_time_tracking,Regeneration_test_distance,Regeneration_test_active_proportion,Difference_score,Reinstatement_test_rough ,Reinstatement_test_smooth,Reinstatement_test_active_proportion,Reinstatement_test_distance,Notes
1,Rough,Smooth,Cocaine,,552.37,347.03,0.39,48.857,377.743,522.592,0.580441724,108.569,900.335,0.19,,,,,,,,,,,
2,Rough,Smooth,Control,,476.76,422.64,0.47,98.5681,455.456,444.611,0.493975448,94.4634,900.067,0.02,,,,,,,,,,,
3,Smooth,Rough,Control,,410.07,489.33,0.46,73.6151,140.231,260.159,0.35023602,35.2272,400.39,-0.11,,,,,,,,,,,
4,Smooth,Rough,Cocaine,,442.5,456.89,0.49,82.5611,445.907,454.428,0.495267873,96.3268,900.335,0,,,,,,,,,,,
6,Rough,Smooth,Methamphetamine,,595.73,304.27,0.34,69.1659,511.314,388.721,0.431895426,62.93,900.035,0.09,,,,,,,,,,,
7,Smooth,Rough,Control,,380.29,519.72,0.42,69.4292,323.434,576.633,0.35934436,74.7034,900.067,-0.06,,,,,,,,,,,
8,Smooth,Rough,Methamphetamine,,187.41,712.6,0.21,39.8274,552.966,347.069,0.614382774,97.1656,900.035,0.41,,,,,,,,,,,
9,Smooth,Rough,Control,,446.67,453.36,0.5,73.9941,398.614,501.451,0.442872459,102.694,900.065,-0.05,,,,,,,,,,,
10,Smooth,Rough,Methamphetamine,,293.93,575.15,0.34,104.356,524.759,375.276,0.583042882,101.898,900.035,0.24,,,,,,,,,,,
11,Rough,Smooth,Cocaine,,555.89,344.15,0.38,93.0949,297.61,602.726,0.669445629,79.3847,900.336,0.29,,,,,,,,,,,
12,Smooth,Rough,Cocaine,,359.35,540.68,0.4,64.1817,828.519,71.8158,0.920234339,26.2194,900.3348,0.52,,,,,,,,,,,
13,Smooth,Rough,Methamphetamine,,400.82,499.22,0.45,92.703,516.28,383.756,0.5736215,101.494,900.036,0.13,,,,,,,,,,,
14,Rough,Smooth,Cocaine,,491.38,408.65,0.45,105.177,435.743,443.818,0.504590358,103.708,879.561,0.05,,,,,,,,,,,
