Subject,Condition,Minute,Missing,Velocity,Distance,Time
1,1uM,1,0,0.107898,6.47339,0:00:00-0:01:00
1,1uM,2,0,0.0602221,3.61306,0:01:00-0:02:00
1,1uM,3,0,0.00510378,0.306204,0:02:00-0:03:00
1,1uM,4,0,0.0037275,0.223634,0:03:00-0:04:00
1,1uM,5,0,0.00376038,0.225606,0:04:00-0:05:00
1,1uM,6,0,0.00435603,0.261342,0:05:00-0:06:00
1,1uM,7,0,0.00471381,0.282808,0:06:00-0:07:00
1,1uM,8,0,0.00483324,0.289973,0:07:00-0:08:00
1,1uM,9,0,0.0043282,0.259673,0:08:00-0:09:00
1,1uM,10,0,0.0046539,0.279213,0:09:00-0:10:00
1,1uM,11,0,0.00483556,0.290112,0:10:00-0:11:00
1,1uM,12,0,0.0658522,3.95084,0:11:00-0:12:00
1,1uM,13,0,0.131583,7.89441,0:12:00-0:13:00
1,1uM,14,0,0.136179,8.17016,0:13:00-0:14:00
1,1uM,15,0,0.109836,6.34479,0:14:00-0:15:00
2,1uM,1,10.6,0.169629,10.177,0:00:00-0:01:00
2,1uM,2,10.6,0.304982,13.6923,0:01:00-0:02:00
2,1uM,3,10.6,0.269347,16.1596,0:02:00-0:03:00
2,1uM,4,10.6,0.238685,14.32,0:03:00-0:04:00
2,1uM,5,10.6,0.246212,9.55666,0:04:00-0:05:00
2,1uM,6,10.6,0.274096,13.9538,0:05:00-0:06:00
2,1uM,7,10.6,0.280715,11.2278,0:06:00-0:07:00
2,1uM,8,10.6,0.233018,13.9879,0:07:00-0:08:00
2,1uM,9,10.6,0.240281,10.8443,0:08:00-0:09:00
2,1uM,10,10.6,0.263711,15.4829,0:09:00-0:10:00
2,1uM,11,10.6,0.178728,10.5236,0:10:00-0:11:00
2,1uM,12,10.6,0.206425,9.8184,0:11:00-0:12:00
2,1uM,13,10.6,0.2087,12.5211,0:12:00-0:13:00
2,1uM,14,10.6,0.183658,10.8698,0:13:00-0:14:00
2,1uM,15,10.6,0.216339,11.9124,0:14:00-0:15:00
3,1uM,1,0.6,0.210378,12.6156,0:00:00-0:01:00
3,1uM,2,0.6,0.17836,10.7016,0:01:00-0:02:00
3,1uM,3,0.6,0.20811,12.4866,0:02:00-0:03:00
3,1uM,4,0.6,0.160804,9.64824,0:03:00-0:04:00
3,1uM,5,0.6,0.189525,11.3715,0:04:00-0:05:00
3,1uM,6,0.6,0.182074,10.9244,0:05:00-0:06:00
3,1uM,7,0.6,0.190516,11.431,0:06:00-0:07:00
3,1uM,8,0.6,0.16732,10.0392,0:07:00-0:08:00
3,1uM,9,0.6,0.137815,8.2689,0:08:00-0:09:00
3,1uM,10,0.6,0.146389,8.78335,0:09:00-0:10:00
3,1uM,11,0.6,0.133957,8.0374,0:10:00-0:11:00
3,1uM,12,0.6,0.103928,6.23567,0:11:00-0:12:00
3,1uM,13,0.6,0.115406,6.92435,0:12:00-0:13:00
3,1uM,14,0.6,0.140242,8.41451,0:13:00-0:14:00
3,1uM,15,0.6,0.107136,6.2074,0:14:00-0:15:00
4,1uM,1,6.5,0.057388,3.44303,0:00:00-0:01:00
4,1uM,2,6.5,0.0991708,5.94981,0:01:00-0:02:00
4,1uM,3,6.5,0.123373,7.40183,0:02:00-0:03:00
4,1uM,4,6.5,0.10735,6.44052,0:03:00-0:04:00
4,1uM,5,6.5,0.0805123,4.83038,0:04:00-0:05:00
4,1uM,6,6.5,0.0806727,4.84001,0:05:00-0:06:00
4,1uM,7,6.5,0.0533635,3.20158,0:06:00-0:07:00
4,1uM,8,6.5,0.0971527,5.83201,0:07:00-0:08:00
4,1uM,9,6.5,0.0321663,1.92983,0:08:00-0:09:00
4,1uM,10,6.5,0.0175919,1.05544,0:09:00-0:10:00
4,1uM,11,6.5,0.0160299,0.961722,0:10:00-0:11:00
4,1uM,12,6.5,0.0171796,1.0307,0:11:00-0:12:00
4,1uM,13,6.5,0.0147517,0.885034,0:12:00-0:13:00
4,1uM,14,6.5,0.0178335,1.06993,0:13:00-0:14:00
4,1uM,15,6.5,0.0427191,2.45761,0:14:00-0:15:00
5,1uM,1,0,0.0583411,3.50021,0:00:00-0:01:00
5,1uM,2,0,0.0885597,5.31319,0:01:00-0:02:00
5,1uM,3,0,0.106613,6.39629,0:02:00-0:03:00
5,1uM,4,0,0.0244404,1.46632,0:03:00-0:04:00
5,1uM,5,0,0.0204938,1.22954,0:04:00-0:05:00
5,1uM,6,0,0.0175366,1.05212,0:05:00-0:06:00
5,1uM,7,0,0.0170557,1.02327,0:06:00-0:07:00
5,1uM,8,0,0.0145242,0.871877,0:07:00-0:08:00
5,1uM,9,0,0.0148308,0.889785,0:08:00-0:09:00
5,1uM,10,0,0.0150384,0.902235,0:09:00-0:10:00
5,1uM,11,0,0.016907,1.01435,0:10:00-0:11:00
5,1uM,12,0,0.0174248,1.04541,0:11:00-0:12:00
5,1uM,13,0,0.0162685,0.976038,0:12:00-0:13:00
5,1uM,14,0,0.0184842,1.10897,0:13:00-0:14:00
5,1uM,15,0,0.0186877,1.08267,0:14:00-0:15:00
6,1uM,1,1.4,0.0974074,5.84401,0:00:00-0:01:00
6,1uM,2,1.4,0.10905,6.54252,0:01:00-0:02:00
6,1uM,3,1.4,0.0313262,1.87943,0:02:00-0:03:00
6,1uM,4,1.4,0.0907393,5.44396,0:03:00-0:04:00
6,1uM,5,1.4,0.00521797,0.313055,0:04:00-0:05:00
6,1uM,6,1.4,0.0051041,0.306223,0:05:00-0:06:00
6,1uM,7,1.4,0.00621429,0.37283,0:06:00-0:07:00
6,1uM,8,1.4,0.00644801,0.38707,0:07:00-0:08:00
6,1uM,9,1.4,0.00697564,0.418507,0:08:00-0:09:00
6,1uM,10,1.4,0.0100102,0.60057,0:09:00-0:10:00
6,1uM,11,1.4,0.00967246,0.580305,0:10:00-0:11:00
6,1uM,12,1.4,0.00758276,0.454932,0:11:00-0:12:00
6,1uM,13,1.4,0.00959153,0.575449,0:12:00-0:13:00
6,1uM,14,1.4,0.00555006,0.332979,0:13:00-0:14:00
6,1uM,15,1.4,0.00357886,0.207341,0:14:00-0:15:00
7,1uM,1,8,0.0578046,3.46802,0:00:00-0:01:00
7,1uM,2,8,0.0817659,4.90559,0:01:00-0:02:00
7,1uM,3,8,0.101063,6.06336,0:02:00-0:03:00
7,1uM,4,8,0.0848208,5.08887,0:03:00-0:04:00
7,1uM,5,8,0.0893459,5.36036,0:04:00-0:05:00
7,1uM,6,8,0.0733974,4.40352,0:05:00-0:06:00
7,1uM,7,8,0.0990951,5.94526,0:06:00-0:07:00
7,1uM,8,8,0.0896407,5.38107,0:07:00-0:08:00
7,1uM,9,8,0.109045,6.54223,0:08:00-0:09:00
7,1uM,10,8,0.0785565,4.71305,0:09:00-0:10:00
7,1uM,11,8,0.0793315,4.75954,0:10:00-0:11:00
7,1uM,12,8,0.0876408,5.25806,0:11:00-0:12:00
7,1uM,13,8,0.0773313,4.63953,0:12:00-0:13:00
7,1uM,14,8,0.0581634,3.48955,0:13:00-0:14:00
7,1uM,15,8,0.0152929,0.88599,0:14:00-0:15:00
8,1uM,1,0,0.020839,1.2503,0:00:00-0:01:00
8,1uM,2,0,0.0101269,0.607594,0:01:00-0:02:00
8,1uM,3,0,0.010712,0.642695,0:02:00-0:03:00
8,1uM,4,0,0.00726215,0.435714,0:03:00-0:04:00
8,1uM,5,0,0.00650005,0.389989,0:04:00-0:05:00
8,1uM,6,0,0.00584107,0.350452,0:05:00-0:06:00
8,1uM,7,0,0.00879118,0.527453,0:06:00-0:07:00
8,1uM,8,0,0.0052387,0.314311,0:07:00-0:08:00
8,1uM,9,0,0.00575484,0.345278,0:08:00-0:09:00
8,1uM,10,0,0.00783249,0.469933,0:09:00-0:10:00
8,1uM,11,0,0.00925875,0.555506,0:10:00-0:11:00
8,1uM,12,0,0.00531805,0.319072,0:11:00-0:12:00
8,1uM,13,0,0.00552334,0.331389,0:12:00-0:13:00
8,1uM,14,0,0.005637,0.338208,0:13:00-0:14:00
8,1uM,15,0,0.00603838,0.349847,0:14:00-0:15:00
9,1uM,1,10.5,0.190403,11.4233,0:00:00-0:01:00
9,1uM,2,10.5,0.212225,12.7326,0:01:00-0:02:00
9,1uM,3,10.5,0.141118,8.46644,0:02:00-0:03:00
9,1uM,4,10.5,0.150356,9.0207,0:03:00-0:04:00
9,1uM,5,10.5,0.181644,10.8978,0:04:00-0:05:00
9,1uM,6,10.5,0.1593,9.55732,0:05:00-0:06:00
9,1uM,7,10.5,0.173663,10.419,0:06:00-0:07:00
9,1uM,8,10.5,0.097972,5.8812,0:07:00-0:08:00
9,1uM,9,10.5,0.145331,8.71922,0:08:00-0:09:00
9,1uM,10,10.5,0.148728,8.92304,0:09:00-0:10:00
9,1uM,11,10.5,0.151094,9.06499,0:10:00-0:11:00
9,1uM,12,10.5,0.182539,10.9516,0:11:00-0:12:00
9,1uM,13,10.5,0.2099,12.5931,0:12:00-0:13:00
9,1uM,14,10.5,0.170724,10.2427,0:13:00-0:14:00
9,1uM,15,10.5,0.166947,9.67207,0:14:00-0:15:00
10,1uM,1,22.7,0.185434,11.1252,0:00:00-0:01:00
10,1uM,2,22.7,0.132708,7.96187,0:01:00-0:02:00
10,1uM,3,22.7,0.140953,8.45653,0:02:00-0:03:00
10,1uM,4,22.7,0.0546593,3.27932,0:03:00-0:04:00
10,1uM,5,22.7,0.141605,8.49566,0:04:00-0:05:00
10,1uM,6,22.7,0.163397,9.80307,0:05:00-0:06:00
10,1uM,7,22.7,0.0999858,5.99871,0:06:00-0:07:00
10,1uM,8,22.7,0.143326,8.60377,0:07:00-0:08:00
10,1uM,9,22.7,0.128633,7.71742,0:08:00-0:09:00
10,1uM,10,22.7,0.119794,7.18713,0:09:00-0:10:00
10,1uM,11,22.7,0.10167,6.09977,0:10:00-0:11:00
10,1uM,12,22.7,0.127151,7.6285,0:11:00-0:12:00
10,1uM,13,22.7,0.166653,9.99844,0:12:00-0:13:00
10,1uM,14,22.7,0.0779786,4.67837,0:13:00-0:14:00
10,1uM,15,22.7,0.117917,6.8315,0:14:00-0:15:00
11,5uM,1,19.7,0.171737,8.91108,0:00:00-0:01:00
11,5uM,2,19.7,0.181911,10.9139,0:01:00-0:02:00
11,5uM,3,19.7,0.175664,10.5391,0:02:00-0:03:00
11,5uM,4,19.7,0.157213,9.43211,0:03:00-0:04:00
11,5uM,5,19.7,0.157597,7.69825,0:04:00-0:05:00
11,5uM,6,19.7,0.203378,7.79101,0:05:00-0:06:00
11,5uM,7,19.7,0.17708,10.0498,0:06:00-0:07:00
11,5uM,8,19.7,0.203579,9.57303,0:07:00-0:08:00
11,5uM,9,19.7,0.196594,11.7948,0:08:00-0:09:00
11,5uM,10,19.7,0.112082,4.97517,0:09:00-0:10:00
